,word,count,avg_score
0,jokowi,838648,0.167054678354
1,jk,234895,0.289879055668
2,prabowo,219203,0.0711926789662
3,debat,111472,0.122190840386
4,tidak,101633,0.0814775257782
5,capres,87454,0.152916964512
6,hatta,67105,0.0553350276332
7,pilih,66785,0.509994036507
8,jokowi_do2,65347,0.306763485053
9,presiden,49931,0.18569441759
10,pemimpin,44566,0.74176845516
11,anda,39422,0.668074854973
12,dukung,38932,0.131453551593
13,indonesia,37165,0.182190415153
14,debatcapres,36436,0.0781635413324
15,pengalaman,35678,0.948580228568
16,rakyat,34822,0.0973473117131
17,ikut,34717,0.824574555168
18,doa,33598,0.274325609193
19,dipercaya,33347,0.990001399384
20,presidennomor2,33328,0.205434915213
21,memenangkan,33148,0.982451642739
22,kertas,33017,0.28607379039
23,dennyja_world,32755,0.998381926423
24,denny,32683,0.916421616313
25,triomacan2000,30920,-0.085344888078
26,jas,28603,0.265105076223
27,bilang,26484,0.0589515719874
28,2,23731,0.148424883763
29,orang,23667,0.0215461735058
30,jakarta,23069,0.177165567699
31,ernestprakasa,22997,0.162354510009
32,soal,21470,0.128131647765
33,1,20779,0.0896403835858
34,kalla,19125,0.170066399209
35,bicara,18847,0.112036405006
36,cawapres,18015,0.131031467299
37,partai,17839,0.175710435482
38,malam,17268,0.147077585313
39,demokrasi,17171,0.257120074289
40,detikcom,16510,0.135321573619
41,calon,16159,0.0838371672889
42,vs,14883,0.149630853994
43,sekali,14870,0.0944093458358
44,pakai,14770,0.0698406752572
45,jelas,14705,-0.438386291895
46,ibunda,14332,0.653862126246
47,kelihatan,13956,-0.0291401427469
48,liat,13927,0.196017038114
49,solo,13354,0.398268065044
